"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2020-08-17 - Bruins 4, Hurricanes 3","Carolina Hurricanes","Limited ReportFull ReportSeries Report","60","42","66","38.89","27","48","36.00","19","33","36.54","3","4","42.86","1.04","3.25","24.34","16","35","31.37","7","17","29.17","1","2","33.33","20.00","80.00","15.79","87.88","1.037"
"2020-08-17 - Lightning 2, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","60","51","51","50.00","39","33","54.17","29","22","56.86","1","2","33.33","1.61","2.62","38.11","22","20","52.38","7","11","38.89","1","2","33.33","16.67","75.00","3.45","90.91","0.944"
"2020-08-18 - Blackhawks 3, Golden Knights 4","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","68","52","56.67","49","34","59.04","39","26","60.00","4","3","57.14","3.75","1.95","65.75","34","26","56.67","16","11","59.26","2","3","40.00","18.18","66.67","10.26","88.46","0.987"
"2020-08-18 - Capitals 3, Islanders 2","New York Islanders","Limited ReportFull ReportSeries Report","60","53","64","45.30","39","51","43.33","26","29","47.27","2","3","40.00","2.56","2.9","46.88","22","33","40.00","11","7","61.11","1","1","50.00","11.11","80.00","7.69","89.66","0.973"
"2020-08-18 - Flames 1, Stars 2","Dallas Stars","Limited ReportFull ReportSeries Report","60","64","68","48.48","49","48","50.52","32","29","52.46","2","1","66.67","2.16","2.02","51.75","30","24","55.56","10","8","55.56","1","0","100.00","20.00","100.00","6.25","96.55","1.028"
"2020-08-18 - Flyers 2, Canadiens 0","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","58","52","52.73","45","39","53.57","29","22","56.86","0","2","0.00","1.66","1.37","54.86","21","18","53.85","11","4","73.33","0","0","-","0.00","100.00","0.00","90.91","0.909"
"2020-08-19 - Blue Jackets 4, Lightning 5","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","65.2","49","75","39.52","36","57","38.71","25","41","37.88","5","4","55.56","1.54","4.1","27.34","17","36","32.08","11","16","40.74","2","3","40.00","20.00","75.00","20.00","90.24","1.102"
"2020-08-19 - Canadiens 5, Flyers 3","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","67","54","55.37","44","45","49.44","29","33","46.77","3","5","37.50","2.94","2.94","49.99","38","26","59.38","15","9","62.50","1","2","33.33","11.11","60.00","10.34","84.85","0.952"
"2020-08-19 - Canucks 4, Blues 3","St Louis Blues","Limited ReportFull ReportSeries Report","60","61","72","45.86","46","46","50.00","39","30","56.52","3","4","42.86","2.86","2.97","49.09","26","35","42.62","11","12","47.83","0","3","0.00","0.00","50.00","7.69","86.67","0.944"
"2020-08-19 - Coyotes 1, Avalanche 7","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","58","51","53.21","43","32","57.33","36","24","60.00","7","1","87.50","2.92","1.63","64.20","36","20","64.29","13","10","56.52","4","1","80.00","33.33","87.50","19.44","95.83","1.153"
"2020-08-19 - Hurricanes 1, Bruins 2","Boston Bruins","Limited ReportFull ReportSeries Report","60","47","60","43.93","37","43","46.25","27","24","52.94","2","1","66.67","2.46","2.91","45.86","22","38","36.67","9","14","39.13","1","0","100.00","25.00","100.00","7.41","95.83","1.032"
"2020-08-20 - Islanders 4, Capitals 0","Washington Capitals","Limited ReportFull ReportSeries Report","60","66","32","67.35","35","25","58.33","21","17","55.26","0","4","0.00","1.37","2.3","37.35","19","16","54.29","6","7","46.15","0","1","0.00","0.00","75.00","0.00","76.47","0.765"
"2020-08-20 - Stars 7, Flames 3","Calgary Flames","Limited ReportFull ReportSeries Report","60","80","41","66.12","56","32","63.64","41","24","63.08","3","7","30.00","3.6","2.42","59.86","41","20","67.21","15","9","62.50","0","4","0.00","0.00","20.00","7.32","70.83","0.782"
"2020-08-21 - Blues 2, Canucks 6","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","46","77","37.40","36","49","42.35","25","36","40.98","6","2","75.00","3.37","3.45","49.46","26","41","38.81","8","17","32.00","2","1","66.67","33.33","90.91","24.00","94.44","1.184"
"2020-08-21 - Flyers 3, Canadiens 2","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","71","35","66.98","50","26","65.79","33","17","66.00","2","3","40.00","2.59","1.34","65.85","27","15","64.29","12","4","75.00","1","1","50.00","12.50","75.00","6.06","82.35","0.884"
"2020-08-22 - Stars 5, Avalanche 3","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","57","51","52.78","36","39","48.00","31","30","50.82","3","5","37.50","2.1","2.11","49.78","25","27","48.08","8","11","42.11","2","3","40.00","25.00","62.50","9.68","83.33","0.930"
"2020-08-23 - Bruins 3, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","72","63","53.33","52","44","54.17","37","31","54.41","2","3","40.00","3.23","2.79","53.70","34","31","52.31","13","11","54.17","0","2","0.00","0.00","77.78","5.41","90.32","0.957"
"2020-08-23 - Canucks 0, Golden Knights 5","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","73","62","54.07","52","37","58.43","39","26","60.00","5","0","100.00","3.49","1.51","69.80","35","28","55.56","14","7","66.67","5","0","100.00","38.46","100.00","12.82","100.00","1.128"
"2020-08-24 - Islanders 4, Flyers 0","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","67","51","56.78","45","41","52.33","29","29","50.00","0","4","0.00","2.33","3.44","40.38","29","32","47.54","9","11","45.00","0","1","0.00","0.00","88.89","0.00","86.21","0.862"
"2020-08-24 - Stars 5, Avalanche 2","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","74","34","68.52","53","30","63.86","40","27","59.70","2","5","28.57","3.62","3.34","51.98","30","19","61.22","14","11","56.00","1","4","20.00","7.69","60.00","5.00","81.48","0.865"
"2020-08-25 - Bruins 3, Lightning 4","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","64.666666666667","86","54","61.43","59","36","62.11","40","25","61.54","4","3","57.14","3.69","1.76","67.69","34","26","56.67","16","6","72.73","3","3","50.00","25.00","40.00","10.00","88.00","0.980"
"2020-08-25 - Canucks 5, Golden Knights 2","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","93","56","62.42","53","41","56.38","40","27","59.70","2","5","28.57","3.38","3.75","47.42","42","27","60.87","14","14","50.00","0","5","0.00","0.00","54.55","5.00","81.48","0.865"
"2020-08-26 - Avalanche 6, Stars 4","Dallas Stars","Limited ReportFull ReportSeries Report","60","69","63","52.27","44","44","50.00","37","32","53.62","4","6","40.00","3.89","3.24","54.53","31","26","54.39","17","9","65.38","1","2","33.33","7.14","75.00","10.81","81.25","0.921"
"2020-08-26 - Islanders 3, Flyers 4","Philadelphia Flyers","Limited ReportFull ReportSeries Report","62.683333333333","53","71","42.74","40","54","42.55","31","34","47.69","4","3","57.14","2.17","3.23","40.15","27","32","45.76","9","15","37.50","2","2","50.00","33.33","81.82","12.90","91.18","1.041"
"2020-08-26 - Lightning 7, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","52","54","49.06","37","42","46.84","24","31","43.64","1","7","12.50","2.03","2.03","49.90","18","23","43.90","8","9","47.06","1","5","16.67","16.67","28.57","4.17","77.42","0.816"
"2020-08-29 - Flyers 1, Islanders 3","New York Islanders","Limited ReportFull ReportSeries Report","60","57","63","47.50","43","45","48.86","29","27","51.79","3","1","75.00","2.69","2.27","54.26","29","28","50.88","17","11","60.71","2","0","100.00","16.67","100.00","10.34","96.30","1.066"
"2020-08-29 - Golden Knights 3, Canucks 0","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","63","67","48.46","41","47","46.59","31","34","47.69","0","3","0.00","2.41","2.85","45.80","32","32","50.00","10","14","41.67","0","0","-","0.00","100.00","0.00","91.18","0.912"
"2020-08-29 - Lightning 3, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","64","52","55.17","48","39","55.17","30","26","53.57","1","3","25.00","3.03","2.69","52.99","25","29","46.30","9","9","50.00","0","1","0.00","0.00","83.33","3.33","88.46","0.918"
