,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
1867,Minnesota Wild,Columbus Blue Jackets,19,25,2,4,1,1
1868,Pittsburgh Penguins,Montreal Canadiens,18,9,4,3,1,1
1869,Edmonton Oilers,Vancouver Canucks,1,0,2,2,1,1
1870,New Jersey Devils,Washington Capitals,24,2,2,6,1,1
1871,Calgary Flames,Arizona Coyotes,12,29,4,2,1,1
1872,Tampa Bay Lightning,Carolina Hurricanes,16,10,3,1,1,1
1873,Winnipeg Jets,New York Islanders,28,23,2,6,1,1
1874,Dallas Stars,Florida Panthers,8,15,1,3,1,1
1875,Colorado Avalanche,New York Rangers,13,14,2,6,1,1
1876,Boston Bruins,Buffalo Sabres,7,17,3,1,1,1
1877,Los Angeles Kings,San Jose Sharks,26,6,3,2,1,1
1878,Anaheim Ducks,Philadelphia Flyers,11,22,3,3,1,1
1879,Toronto Maple Leafs,Detroit Red Wings,5,27,5,4,1,1
1880,Washington Capitals,Ottawa Senators,2,4,2,1,1,1
1881,Vancouver Canucks,Colorado Avalanche,0,13,3,2,1,1
1882,St Louis Blues,Chicago Blackhawks,3,21,4,1,1,1
1883,New Jersey Devils,Boston Bruins,24,7,3,0,1,1
1884,Nashville Predators,Montreal Canadiens,20,9,1,2,1,1
1885,Carolina Hurricanes,New Jersey Devils,10,24,1,3,1,1
1886,Tampa Bay Lightning,Winnipeg Jets,16,28,4,6,1,1
1887,San Jose Sharks,Los Angeles Kings,6,26,1,2,1,1
1888,Washington Capitals,Toronto Maple Leafs,2,5,6,5,1,1
1889,Columbus Blue Jackets,Edmonton Oilers,25,1,3,1,1,1
1890,New York Rangers,Buffalo Sabres,14,17,1,4,1,1
1891,Calgary Flames,Colorado Avalanche,12,13,4,1,1,1
1892,Dallas Stars,Montreal Canadiens,8,9,3,4,1,1
1893,Vancouver Canucks,Arizona Coyotes,0,29,3,0,1,1
1894,Florida Panthers,Winnipeg Jets,15,28,1,4,1,1
1895,Philadelphia Flyers,New York Rangers,22,14,2,5,1,1
1896,Anaheim Ducks,Detroit Red Wings,11,27,2,0,1,1
1897,Washington Capitals,Columbus Blue Jackets,2,25,5,0,1,1
1898,St Louis Blues,Carolina Hurricanes,3,10,2,4,1,1
1899,Boston Bruins,Edmonton Oilers,7,1,3,4,1,1
1900,Tampa Bay Lightning,Nashville Predators,16,20,1,6,1,1
1901,Los Angeles Kings,Detroit Red Wings,26,27,0,4,1,1
1902,Chicago Blackhawks,Buffalo Sabres,21,17,4,3,1,1
1903,San Jose Sharks,Minnesota Wild,6,19,4,5,1,1
1904,Anaheim Ducks,Arizona Coyotes,11,29,3,2,1,1
1905,Vancouver Canucks,Calgary Flames,0,12,4,2,1,1
1906,Chicago Blackhawks,Carolina Hurricanes,21,10,2,1,1,1
1907,Colorado Avalanche,New York Islanders,13,23,2,1,1,1
1908,New Jersey Devils,Toronto Maple Leafs,24,5,2,4,1,1
1909,Florida Panthers,Nashville Predators,15,20,2,1,1,1
1910,Florida Panthers,Boston Bruins,15,7,0,4,1,1
1911,Toronto Maple Leafs,Montreal Canadiens,5,9,3,5,1,1
1912,Calgary Flames,Vancouver Canucks,12,0,3,1,1,1
1913,Ottawa Senators,Washington Capitals,4,2,0,1,1,1
1914,Arizona Coyotes,New York Islanders,29,23,1,1,1,1
1915,Buffalo Sabres,Winnipeg Jets,17,28,4,3,1,1
1916,Philadelphia Flyers,Tampa Bay Lightning,22,16,4,2,1,1
1917,New Jersey Devils,Edmonton Oilers,24,1,1,2,1,1
1918,Columbus Blue Jackets,New York Rangers,25,14,4,5,1,1
1919,San Jose Sharks,Detroit Red Wings,6,27,6,3,1,1
1920,St Louis Blues,Dallas Stars,3,8,4,3,1,1
1921,Los Angeles Kings,Minnesota Wild,26,19,4,3,1,1
1922,Carolina Hurricanes,Boston Bruins,10,7,4,3,1,1
1923,Columbus Blue Jackets,Philadelphia Flyers,25,22,2,1,1,1
1924,Pittsburgh Penguins,Tampa Bay Lightning,18,16,6,2,1,1
1925,Ottawa Senators,Edmonton Oilers,4,1,5,3,1,1
1926,Chicago Blackhawks,Nashville Predators,21,20,5,2,1,1
1927,Anaheim Ducks,Minnesota Wild,11,19,1,2,1,1
1928,Montreal Canadiens,Washington Capitals,9,2,1,4,1,1
1929,Winnipeg Jets,Calgary Flames,28,12,2,0,1,1
1930,New Jersey Devils,Florida Panthers,24,15,0,3,1,1
