,date,away_team,away_team_id,away_points,home_team,home_team_id,home_points,regular_season,season
221,2015-11-25 20:00:00,Atlanta Hawks,23,95,Minnesota Timberwolves,27,99,1,0
222,2015-11-25 20:00:00,Brooklyn Nets,5,99,Oklahoma City Thunder,18,110,1,0
223,2015-11-25 20:30:00,Dallas Mavericks,8,83,San Antonio Spurs,9,88,1,0
224,2015-11-25 21:00:00,New Orleans Pelicans,17,120,Phoenix Suns,12,114,1,0
225,2015-11-25 22:30:00,Utah Jazz,10,102,Los Angeles Clippers,1,91,1,0
226,2015-11-27 19:00:00,Cleveland Cavaliers,26,95,Charlotte Hornets,2,90,1,0
227,2015-11-27 19:00:00,Milwaukee Bucks,22,90,Orlando Magic,4,114,1,0
228,2015-11-27 19:30:00,Washington Wizards,28,78,Boston Celtics,29,111,1,0
229,2015-11-27 19:30:00,Miami Heat,6,97,New York Knicks,24,78,1,0
230,2015-11-27 20:00:00,Philadelphia 76ers,7,114,Houston Rockets,14,116,1,0
231,2015-11-27 20:00:00,Chicago Bulls,25,92,Indiana Pacers,3,104,1,0
232,2015-11-27 20:00:00,Atlanta Hawks,23,116,Memphis Grizzlies,16,101,1,0
233,2015-11-27 20:00:00,Detroit Pistons,13,87,Oklahoma City Thunder,18,103,1,0
234,2015-11-27 21:00:00,San Antonio Spurs,9,91,Denver Nuggets,19,80,1,0
235,2015-11-27 21:30:00,Golden State Warriors,15,135,Phoenix Suns,12,116,1,0
236,2015-11-27 22:00:00,Minnesota Timberwolves,27,101,Sacramento Kings,20,91,1,0
237,2015-11-27 22:30:00,New Orleans Pelicans,17,90,Los Angeles Clippers,1,111,1,0
238,2015-11-28 19:00:00,Toronto Raptors,0,84,Washington Wizards,28,82,1,0
239,2015-11-28 19:30:00,Brooklyn Nets,5,88,Cleveland Cavaliers,26,90,1,0
240,2015-11-28 20:30:00,Denver Nuggets,19,81,Dallas Mavericks,8,92,1,0
241,2015-11-28 20:30:00,Atlanta Hawks,23,88,San Antonio Spurs,9,108,1,0
242,2015-11-28 21:00:00,New Orleans Pelicans,17,87,Utah Jazz,10,101,1,0
243,2015-11-28 22:00:00,Los Angeles Lakers,21,96,Portland Trail Blazers,11,108,1,0
244,2015-11-28 22:30:00,Sacramento Kings,20,101,Golden State Warriors,15,120,1,0
245,2015-11-29 14:00:00,Milwaukee Bucks,22,82,Charlotte Hornets,2,87,1,0
246,2015-11-29 15:30:00,Minnesota Timberwolves,27,99,Los Angeles Clippers,1,107,1,0
247,2015-11-29 18:00:00,Detroit Pistons,13,83,Brooklyn Nets,5,87,1,0
248,2015-11-29 18:00:00,Philadelphia 76ers,7,84,Memphis Grizzlies,16,92,1,0
249,2015-11-29 18:00:00,Boston Celtics,29,91,Orlando Magic,4,110,1,0
250,2015-11-29 18:00:00,Phoenix Suns,12,107,Toronto Raptors,0,102,1,0
251,2015-11-29 19:30:00,Houston Rockets,14,116,New York Knicks,24,111,1,0
252,2015-11-29 21:30:00,Indiana Pacers,3,107,Los Angeles Lakers,21,103,1,0
253,2015-11-30 19:30:00,Boston Celtics,29,105,Miami Heat,6,95,1,0
254,2015-11-30 19:30:00,Houston Rockets,14,105,Detroit Pistons,13,116,1,0
255,2015-11-30 20:00:00,Oklahoma City Thunder,18,100,Atlanta Hawks,23,106,1,0
256,2015-11-30 20:00:00,San Antonio Spurs,9,89,Chicago Bulls,25,92,1,0
257,2015-11-30 20:00:00,Denver Nuggets,19,74,Milwaukee Bucks,22,92,1,0
258,2015-11-30 21:00:00,Golden State Warriors,15,106,Utah Jazz,10,103,1,0
259,2015-11-30 22:00:00,Dallas Mavericks,8,98,Sacramento Kings,20,112,1,0
260,2015-11-30 22:30:00,Portland Trail Blazers,11,87,Los Angeles Clippers,1,102,1,0
261,2015-12-01 19:00:00,Los Angeles Lakers,21,91,Philadelphia 76ers,7,103,1,0
262,2015-12-01 19:00:00,Washington Wizards,28,97,Cleveland Cavaliers,26,85,1,0
263,2015-12-01 19:30:00,Phoenix Suns,12,91,Brooklyn Nets,5,94,1,0
264,2015-12-01 20:00:00,Memphis Grizzlies,16,113,New Orleans Pelicans,17,104,1,0
265,2015-12-01 20:00:00,Orlando Magic,4,96,Minnesota Timberwolves,27,93,1,0
266,2015-12-01 22:00:00,Dallas Mavericks,8,115,Portland Trail Blazers,11,112,1,0
